eqid	type	name	ヒール回復	ds
2359	7	スノウイヤーマフ	15.0	MATK+6% ﾋｰﾙ回復+15% ﾃﾞｨﾚｲ-1秒 魔法耐性+5% 防御時、確率で魔法反撃 ｸﾘｽﾏｽ期間、MDEFがLvで少し増加
2448	7	ヴァイオラ	10.0	MATK+9% ﾋｰﾙ回復+10% 詠唱時間+50% 防御時、確率で魔法反撃
2466	7	白いマフラー	10.0	ﾋｰﾙ回復+10% ﾍｲﾄ増加-10%
2520	8	古の遺物	10.0	ﾋｰﾙ回復+10% MaxHP・MP+3%
2522	8	天使の矢	15.0	ﾋｰﾙ回復+15% 弓装備時、MaxHP+10% 防御時、確率で被害軽減
2828	8	オリハルの十字架	10.0	ﾋｰﾙ回復+10% MP消費+2%
2897	8	霊木の冥加	15.0	ﾋｰﾙ回復+15% ｽｷﾙﾃﾞｨﾚｲ-1秒
2902	8	桜花の一片	50.0	物理・魔法耐性+5% 絶対・魔法回避-5% ﾋｰﾙ回復+50% ｱｲﾃﾑ回復-100%
3462	9	◇シーピーグランマ	13.0	ﾋｰﾙ回復+13% 光魔法威力+2%
3559	9	◇ビビアナ	12.0	MATK+4% ﾋｰﾙ回復+12%
3638	10	▲門番	10.0	ﾋｰﾙ回復+10% ﾍｲﾄ増加+5%
3644	10	▲グリンモルフィ	15.0	ﾋｰﾙ回復+15% MP消費+10% 詠唱防御+2%
